Age,All,Male,Female
Under 5 years,"19736","10094","9642"
5 to 9 years,"20212","10328","9884"
10 to 14 years,"20827","10650","10177"
15 to 19 years,"20849","10545","10304"
20 to 24 years,"21254","10716","10538"
25 to 29 years,"23277","11792","11485"
30 to 34 years,"21932","10935","10997"
35 to 39 years,"21443","10629","10814"
40 to 44 years,"19584","9628","9956"
45 to 49 years,"20345","9993","10351"
50 to 54 years,"20355","9930","10425"
55 to 59 years,"21163","10046","11117"
60 to 64 years,"20592","9819","10773"
65 to 69 years,"17356","8198","9158"
70 to 74 years,"14131","6691","7440"
75 to 79 years,"9357","4233","5124"
80 to 84 years,"6050","2519","3532"
85 years and over,"5893","2282","3611"
